last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Profar, Jurickson,595777,155,11,35.5,107.7,87.2,89.8,86.3,421,158,392,43,11.0,27.7,5,3.2,2.5
Vogt, Stephen,519390,55,21.2,23.6,105.3,87.3,90.6,82.1,363,199,363,17,12.3,30.9,2,3.6,2.5
León, Sandy,506702,45,17.9,37.8,108.1,84.9,92.4,77.5,439,172,408,13,8.8,28.9,2,4.4,2.5
Cave, Jake,595909,69,8.5,27.5,106.3,87.4,92.9,81.9,417,157,385,27,11.3,39.1,3,4.3,2.4
Walker, Neil,435522,27,22,51.9,103.1,86.9,86.8,88.4,378,177,,3,3.8,11.1,1,3.7,2.4
García, Avisaíl,541645,132,8.7,37.1,113.3,87.4,92.1,84.7,427,149,412,49,12.4,37.1,5,3.8,2.4
Suzuki, Kurt,435559,95,18,31.6,104,83.9,88.2,80.8,390,184,384,23,9.7,24.2,3,3.2,2.3
LeMahieu, DJ,518934,175,2.3,29.7,109.5,91.3,94.4,89.5,397,135,361,80,21.9,45.7,5,2.9,2.3
Adell, Jo,666176,69,11.4,30.4,115.5,90.6,93.2,90.9,437,158,407,25,9.0,36.2,3,4.3,2.3
Smoak, Justin,475253,78,15.3,33.3,107,89.6,95.2,85.6,416,172,379,31,13.0,39.7,3,3.8,2.3
Caratini, Victor,605170,85,6.2,25.9,111,87.9,93.4,85,371,142,371,31,14.4,36.5,3,3.5,2.3
Owings, Chris,572008,30,18,23.3,103.3,86.9,91.1,82.3,418,196,400,9,10.7,30.0,1,3.3,2.3
Giménez, Andrés,665926,91,13.5,30.8,109.5,86.8,89.9,86.8,388,146,383,24,9.6,26.4,3,3.3,2.3
Muñoz, Yairo,622168,34,13,35.3,104.4,89.2,94.6,86.6,395,152,395,13,12.4,38.2,1,2.9,2.2
Evans, Phillip,595943,32,7.6,31.3,109.8,85.5,91.4,81.8,411,148,411,11,14.9,34.4,1,3.1,2.2
McGuire, Reese,624512,34,1.5,8.8,103,82.1,88.7,83,379,82,379,5,6.0,14.7,1,2.9,2.2
Polanco, Jorge,593871,177,16.1,39.0,109.2,86.6,89.2,84.9,391,179,378,59,15.1,33.3,5,2.8,2.2
Garneau, Dustin,572863,25,24.3,32.0,103.1,88.2,95.7,73.3,379,201,379,7,9.2,28.0,1,4.0,2.2
Gordon, Alex,460086,126,11.6,34.1,112.3,82.8,90.3,76.8,437,154,396,32,9.6,25.4,4,3.2,2.2
Sandoval, Pablo,467055,66,8,28.8,112.1,91.9,94.5,89.9,379,148,379,34,17.9,51.5,2,3.0,2.1
Bonifacio, Jorge,593528,61,18.3,32.8,106.9,82.9,90.4,78.5,402,168,400,17,8.5,27.9,2,3.3,2.1
Choi, Ji-Man,596847,89,15.7,30.3,109.9,89,94.5,85.1,429,169,400,35,13.3,39.3,3,3.4,2.1
Toro, Abraham,647351,64,7.6,26.6,107.9,86.1,90.6,85.2,438,140,402,18,9.3,28.1,2,3.1,2.1
Joyce, Matt,459964,87,12.5,36.8,106.2,86.7,91,81.7,404,182,395,28,10.7,32.2,3,3.4,2.0
Dahl, David,621311,66,17,30.3,103.6,85.9,88.9,82.2,416,179,,15,7.0,22.7,2,3.0,2.0
Berti, Jon,542932,86,7.2,32.6,109.9,86.6,87.1,86.9,417,136,409,29,14.2,33.7,3,3.5,2.0
Zimmer, Bradley,605548,24,16.4,20.8,106.6,84.1,90.7,78.3,388,164,388,4,4.9,16.7,1,4.2,2.0
Heineman, Tyler,623168,38,34.3,21.1,100.3,82.4,86.3,82.3,400,177,,4,5.0,10.5,1,2.6,2.0
Lopes, Tim,621005,109,6.5,29.4,109.1,87.2,92.3,85.3,376,139,374,43,14.0,39.4,3,2.8,2.0
